Fecha,DolarToday
6-23-2010,9.92E-05
6-25-2010,8.05E-05
6-26-2010,8.05E-05
6-27-2010,7.91E-05
6-28-2010,7.91E-05
6-29-2010,7.92E-05
6-30-2010,7.97E-05
7-1-2010,7.97E-05
7-2-2010,7.98E-05
7-4-2010,7.85E-05
7-6-2010,7.84E-05
7-7-2010,8.27E-05
7-8-2010,8.22E-05
7-9-2010,8.17E-05
7-11-2010,8.17E-05
7-12-2010,8.16E-05
7-13-2010,8.13E-05
7-14-2010,8.15E-05
7-15-2010,8.14E-05
7-16-2010,8.17E-05
7-17-2010,8.17E-05
7-18-2010,8.17E-05
7-19-2010,8.14E-05
7-20-2010,8.14E-05
7-21-2010,8.12E-05
7-22-2010,8.21E-05
7-23-2010,8.23E-05
7-24-2010,8.22E-05
7-25-2010,8.49E-05
7-26-2010,8.45E-05
7-27-2010,8.42E-05
7-28-2010,8.39E-05
7-29-2010,8.37E-05
7-30-2010,8.38E-05
7-31-2010,8.38E-05
8-1-2010,8.38E-05
8-2-2010,8.33E-05
8-3-2010,8.34E-05
8-4-2010,8.34E-05
8-5-2010,8.27E-05
8-6-2010,8.27E-05
8-7-2010,8.27E-05
8-8-2010,8.27E-05
8-9-2010,8.27E-05
8-10-2010,8.23E-05
8-11-2010,8.21E-05
8-12-2010,8.24E-05
8-13-2010,8.34E-05
8-14-2010,8.34E-05
8-15-2010,8.26E-05
8-16-2010,8.26E-05
8-17-2010,8.23E-05
8-18-2010,8.21E-05
8-19-2010,7.9E-05
8-20-2010,7.9E-05
8-22-2010,7.91E-05
8-23-2010,7.86E-05
8-24-2010,8.27E-05
8-25-2010,8.27E-05
8-26-2010,8.27E-05
8-29-2010,8.27E-05
8-31-2010,8.31E-05
9-2-2010,8.23E-05
9-3-2010,8.23E-05
9-5-2010,8.22E-05
9-6-2010,8.22E-05
9-7-2010,8.22E-05
9-8-2010,8.2E-05
9-9-2010,8.19E-05
9-10-2010,8.19E-05
9-12-2010,8.19E-05
9-13-2010,8.15E-05
9-14-2010,8.13E-05
9-15-2010,8.21E-05
9-16-2010,8.23E-05
9-19-2010,8.21E-05
9-20-2010,8.18E-05
9-21-2010,8.17E-05
9-22-2010,8.2E-05
9-23-2010,8.2E-05
9-26-2010,8.22E-05
9-27-2010,8.19E-05
9-28-2010,8.2E-05
9-29-2010,8.18E-05
9-30-2010,8.18E-05
10-1-2010,8.18E-05
